id,usuario_id,nombre,razon_social,clave_ies,historia,vision,mision,valores_institucionales,created_at
160,587,Centro de Educación Media Superior y Superior de Occidente,Grupo Educativo Sahul A.C.,NULL,"Institución creada el 17 de marzo de 1987 con la finalidad de brindar cursos de capacitación y actualización de corte empresarial En el 2013 se decide dar un paso a la transformación y renovación de nuestra misión buscando obtener reconocimientos con validez oficial de estudios para educación media superior y superior logrando nuestro objetivo en septiembre del 2013 para impartir bachillerato general e intensivo semiescolarizado así mismo se otorga para educación superior reconocimiento de validez oficial en mayo 2014 para nuestras primeras tres carreras. Hoy en día contamos con el reconocimiento de Bachillerato Intensivo Semiescolarizado seis Licenciaturas y una Maestría. Somos una institución de corte humanista que a parte de la formación científica que brindamos a nuestros alumnos también retribuimos a la sociedad a través de programas de apoyo a instituciones como casas hogar visitas al hospital civil casas de asistencia social y para el retiro asesorías jurídicas y contables así como cursos gratuitos de apoyo a las madres solteras etc. Innovamos en la aplicación de las tecnologías de la información con la finalidad de que nuestros egresados estén familiarizados con la tecnología y su aplicación como herramienta a los problemas sociales y profesionales. ","Ser la institución de educación superior que ofrece mayor flexibilidad para el estudio venciendo todo aquel problema o impedimento para brindar oportunidades de educación a todo aquel que desee superarse gracias a nuestros programas educativos de calidad modernidad y accesibilidad. Extender nuestra influencia a todo el país para ayudar a solventar los graves problemas sociales que aquejan a nuestra comunidad por falta de estudio. ","Formar profesionistas cabales que además de adquirir conocimientos habilidades destrezas competencias y actitudes los conduzca a un estado de autoaprendizaje superación y una sana ambición por ser más valiosos a la sociedad para así insertarse en el mercado laboral para el beneficio de sí mismos su familia la comunidad y nuestro país. Impartir educación de nivel superior para formar profesionistas a los que se denominará Licenciado a fin de que desarrollen aptitudes y conocimientos científicos y tecnológicos en un lapso de tres años para aplicarlos en la solución creativa de los problemas que afectan a los sectores públicos privado y social del Estado y el País y Otorgar en su caso la modalidad académica que autorice la Autoridad Educativa en la que previamente se cumplan con los requisitos ya establecidos o que se lleguen a establecer en el ordenamiento correspondiente. ","Participación Promueve la cultura de la inclusión en la construcción de los procesos institucionales favoreciendo que el personal se sienta parte de ella se involucre y haga aportaciones a la comunidad en general. Innovación Promueve la generación y aplicación de conocimientos nuevos para la mejora del desarrollo y la competitividad institucionales. Coordinación Propicia la comunicación como elemento clave para favorecer el desarrollo armónico y la conjunción de esfuerzos para el logro de las metas institucionales. Interdisciplinariedad Plantea la convergencia de los saberes disciplinarios en la generación y aplicación del conocimiento para compartir e implementar alternativas de solución a los problemas y los retos Institucionales. Integralidad La articulación de las acciones permite la toma de las decisiones y la organización y planeación Institucionales desde una visión humanista y científica y bajo el paradigma de la complejidad para la implementación el desarrollo y la evaluación de los programas y los proyectos institucionales. Transparencia y rendición de cuentas Es la vocación institucional dispuesta para ofrecer información a la sociedad con claridad sobre el uso y manejo de los recursos humanos y financieros. Valores institucionales En UNO UNIVERSIDAD DE OCCIDENTE DE ZAPOPAN se promueve y fortalece la formación valoral entendida como el conjunto de creencias básicas que da sentido y coherencia a la conducta individual y colectiva de sus directivos académicos estudiantes y trabajadores administrativos y de apoyo lo que permite la unificación de criterios en el esfuerzo compartido de sus integrantes a través del reconocimiento y el respeto mutuos. Respeto Valor que implica el establecimiento de las relaciones armónicas entre el profesorado los trabajadores y los estudiantes con base en el reconocimiento de lo que somos como comunidad universitaria. Tolerancia Implica la aceptación de la diversidad de ideas y el respeto a la actuación de los demás en el marco de los derechos universales. Solidaridad Favorece la interdependencia y la reciprocidad como forma de cooperación y ayuda mutua. Responsabilidad Valor que implica el cumplimiento en tiempo y forma de las obligaciones propias del trabajo y de las tareas asignadas. Honestidad Determina y afirma la calidad humana para el comportamiento y la expresión de los miembros de la comunidad normalista con coherencia y sinceridad y de acuerdo con los valores de justicia y verdad. Lealtad Implica el compromiso de creer y defender los valores y la filosofía institucional para dar sentido al actuar en pro del logro de su misión y visión institucionales. Justicia Valor que implica el reconocimiento de los esfuerzos individuales y colectivo que favorecen el desarrollo institucional. Libertad Enmarca la toma de las decisiones y la actuación con autonomía y sin contravenir lo dispuesto en las normas institucionales establecidas. Identidad Valor que implica la identificación con la historia los valores los símbolos y los principios institucionales. ",2021/10/11 12:42,2023/08/30 15:31
161,515,Secretaría de Educación del Estado de Jalisco,Secretaría de Educación del Estado de Jalisco,NULL,"La Secretaría de Educación mediante acuerdo nacional para la modernización de la educación básica el martes 19 de mayo de 1992. A fin de corregir el centralismo y burocratismo del sistema educativo con fundamento en lo dispuesto por la Constitución General de la República y por la Ley Federal de Educación el Gobierno Federal y los gobiernos de las entidades federativas de la República celebran en esta misma fecha convenios para concretar responsabilidades en la conducción y operación del sistema de educación básica y de educación normal. De conformidad con dichos convenios y a partir de ahora corresponderá a los gobiernos estatales encargarse de la dirección de los establecimientos educativos con los que la Secretaría de Educación Pública ha venido prestando en cada estado y bajo todas sus modalidades y tipos los servicios de educación preescolar primaria secundaria y para la formación de maestros incluyendo la educación normal la educación indígena y los de educación especial. En consecuencia el Ejecutivo Federal traspasa y el respectivo gobierno estatal recibe los establecimientos escolares con todos los elementos de carácter técnico y administrativo derechos y obligaciones bienes muebles e inmuebles con los que la Secretaría de Educación Pública venía prestando en el estado respectivo hasta esta fecha los servicios educativos mencionados así como los recursos financieros utilizados en su operación. La Secretaría de Educación ofrece servicios educativos a través de sus planteles escolares sustentados sobre la base de una gestión educativa democrática con amplia y permanente participación social federalista y con una administración y marco jurídico-normativo de vanguardia precisa y funcional. Los centros escolares funcionan con autonomía y forman ciudadanos bajo un concepto integral y con los más altos valores sociales ",La Secretaría de Educación del Estado de Jalisco es reconocida como una institución innovadora y fundamental para la transformación social de la entidad con una gestión eficiente oportuna y transparente que a través del diálogo permanente y en corresponsabilidad con la comunidad brinda a los jaliscienses una educación que forma ciudadanos responsables capaces de transformar colectiva y constructivamente su entorno hacia el desarrollo del Estado.,Somos la dependencia del Ejecutivo Estatal encargada de garantizar el acceso a una educación humanista inclusiva equitativa integral y de calidad a todas las personas de Jalisco a través de la acción transformadora y corresponsable de todos los actores involucrados en los procesos educativos y de gestión en cuyo centro se encuentran los alumnos de educación inicial básica media superior superior docente y capacitación para el trabajo. ,"VALORES INSTITUCIONALES Innovación Es trabajar cada día para generar mejores formas de hacer nuestras actividades cotidianas buscando dar valor a lo que hacemos a través de implementar nuevos procesos estructuras de organización programas y proyectos que nos permitan brindar una educación de calidad que forme ciudadanos responsables. Autonomía responsable Se refiere a que cada individuo sea capaz de asumir las responsabilidades que se toman en colectivo y sus consecuencias en relación con la corresponsabilidad social. Implica también el ejercicio profesional comprometido y transparente de funcionarios directivos docentes y personal de apoyo a la educación en la realización de sus respectivas tareas. Corresponsabilidad social Es entender que todos han de cumplir con lo que les corresponde en función del beneficio colectivo y reconocer que lo que el sujeto hace o deja de hacer afecta a la comunidad al sistema al estado y al país. Transparencia Compartir en un marco jurídico de respeto y confianza aquello que se hace y lo que no se hace cómo se actúa cómo se interactúa cómo se renueva cómo se innova cómo se genera conocimiento cómo se organiza cómo rinde cuentas y también las razones por las que se actúa en un sentido u otro. La transparencia invita a sumar esfuerzos de una comunidad que está abierta para construir juntos y posibilitar a unos y a otros la oportunidad de conocer y aportar en un espacio social que permite aprender con todos y para todos. Colegialidad Implica la toma de decisiones y operación de los programas intencionando el diálogo transversal como una vía para ello y en la medida de lo posible a través del consenso. Compromiso institucional Todas las decisiones y acciones realizadas por los sujetos que integran la Secretaría se caracterizan por tener como referente la responsabilidad con el logro de los objetivos y finalidades planteadas en la política de desarrollo social estatal teniendo como prioridad el beneficio institucional y colectivo antes que el personal. Espíritu de servicio El equipo que integra la Secretaría tiene el compromiso de brindar al ciudadano y a sus compañeros de trabajo un trato humano y cercano que favorezca la atención y resolución de los problemas u otras situaciones que se les presenten. Profesionalismo El trabajo de la Secretaría se deberá distinguir por el enfoque hacia la innovación y la mejora continua que al vincularse con el compromiso institucional y el espíritu de servicio se traducirá en acciones pertinentes responsables sobre lo señalado desde una ética del cuidado y en busca del bien común. ",2021/10/11 13:24,2022/01/12 11:30
162,589,Universidad del Valle la Grana,Universidad del Valle la Grana A.C.,NULL," El Instituto de Estudios Superiores de Autlán nació hace 25 años como resultado del compromiso de una Asociación Civil con fines de servicio y no lucrativos. El compromiso social que nos distingue es la Educación y nuestra misión concreta es colaborar en la región Costa Sur del Estado de Jalisco preparando profesionalitas en el área humanística. esta misión se ha venido cumpliendo cabalmente y hemos vencido toda tentación de cambiar de giro educativo alguno más rentable por ejemplo. Las carreras que hasta el presente brindamos son cinco (5): Lic. en Educación Lic. en Derecho Lic. en Filosofía Lic. en Psicología y por último la Lic. en Ciencias Políticas y Administración Pública. Todas ellas incorporadas debidamente a la SEP y a la SEJ. También ofrecemos un Bachillerato Técnico en Trabajo Social incorporado a la DGETI. Como puede observarse se trata de profesiones que benefician de forma directa a las personas. Otro de nuestros compromisos es mantenernos accesibles tomando en cuenta nuestra filosofía humanista así como la realidad de los jóvenes de la región los cuales encuentran una alternativa a su alcance sin necesidad de dirigirse a la capital. para ser claros le informamos que cobramos 12 mensualidades y dos inscripciones semestrales de 890 pesos (actualmente 1350 pesos) los grupos más reducidos los tenemos en las carreras de Ciencias Políticas y Filosofía pues se trata de carreras de baja demanda en todo el país pero no por eso sin importancia al contrario creemos que ellas son esenciales para lograr la salud social y la justicia en nuestros pueblos. Tener pocos alumnos en varios grupos es un reto enorme a la generosidad de los profesores y personal administrativo. Nos queda claro que hemos nacido con un compromiso de solidaridad con los estratos sociales más bajos y para lograrlo pedimos a todos los que colaboramos en este proyecto un esfuerzo de colaboración poco común. Los alumnos que tenemos vienen de toda la Región Costa Sur de la Región de Amula y de la Región Costa del Estado de Jalisco. Hemos desde nuestra fundación dar hospedaje gratuito y casi gratuito a decenas de jóvenes para quienes estamos construyendo un edificio para dormitorios el cual ya es habitado pues hemos habilitado algunos espacios donde se benefician 42 estudiantes de facultad que estudian con nosotros Nos complace comentarle que tenemos muchos estudiantes de las comunidades indígenas a los cuales les aseguramos becas que los sostienen en su propósito por demás loable dada su situación de precariedad. Cabe hacer notar que la Secretaría de Educación nos pide dar un 5% de becas a nuestro alumnado. En este momento estamos sobre el 8%pero hemos llegado a ofrecer hasta el 11%. En la Región somo conocidos y pueden dar fe los miembros de la gestión municipal de Autlán. Las gestiones municipales anteriores también se han dado cuenta de nuestra misión y de nuestra realidad económica y han colaborado pues han visto que somos una asociación de servicio que sale adelante en medio de la falta de recursos. ",Para el año 2025la Universidad alcanzara un reconocimiento  a nivel regional de excelencia educativa la comunidad universitaria habrá hecho suyo el ideal educativo mediante el fortalecimiento de la formación integral y se potenciara la cercanía con Instituciones Regionales.,Colaborar en la formación integral acorde a los avances culturales de todos los miembros  de la comunidad educativa a fin de que lleguen a ser mas para vivir y servir mejor alcancen su realización plena abriéndose al prójimo y a Dios y trabajen en la transformación de la realidad.,"Disciplina Orden Limpieza",2021/10/11 15:55,2023/07/17 21:23
163,590,Centro Freudiano de Estudios Psicoanalítico,Espacio Psicoanalítico A.C.,NULL,"Los antecedentes que convocan este proyecto tienen sus orígenes desde dos vertientes: Una es la institucionalización de un equipo de profesionales de la salud que se ha dedicado al trabajo clínico la docencia y la investigación y la otra que la ciencia psicoanalítica como una disciplina que se inició del Siglo XX y que sustenta nuestro quehacer profesional Este grupo está conformado por psicoanalistas psicólogos y médicos psiquiatras con amplia experiencia en el trabajo clínico. La práctica ha sido en los espacios de la consulta privada y en dependencias institucionales. Asimismo se ha participado en la docencia y en la investigación en instancias públicas y privadas como: Hospital Civil de Guadalajara Hospital Infantil de la Ciudad de México CAE ITESO UDG Escuela de Enfermería del IMSS Escuela de Enfermería del Hospital del Ferrocarril UNIVA UNIVER UAM Xochimilco TEC de Monterrey Centro Infantil Maximino Ávila Camacho DIF Guadalajara Hospital Central Militar Tiempo Nuevo AC Escuela de Educadoras Motolinia AC Asociación Psicoanalítica Mexicana AC Fundación Mexicana de Psicoanálisis AC Grupo Guadalajara de Psicoterapia Psicoanalítica AC Círculo Psicoanalítico Mexicano entre las más importantes. En el año mayo 1991 se fundó un centro asistencial de terapia psicoanalítica con atención a personas de bajos recursos (las cuotas de recuperación son módicas y se establecen tomando en cuenta los ingresos del solicitante) que han llegado por iniciativa propia y otras canalizados por dependencias de gobierno o asociaciones que se dedican a la asistencia social como el Centro de Intervención en Crisis SALME Escuela Normal Instituto Motolinia apoyo a USAER IJAS Coordinación de Servicios Estudiantiles de la UDG Hospital San Juan de Dios entre las más importantes (Anexo 1). En el año 2003 se constituye este centro como una Asociación Civil con el nombre de ESPACIO PSICOANALÌTICO. Durante más de una década se ha trabajado en terapias individuales con niños adolescentes adultos también con familias y grupos. La afluencia constante parece confirmar que esta labor es necesaria y que debe ser continuada y ampliada. Con este motivo se han implementado talleres sobre desarrollo infantil sexualidad cursos especiales en psicología educativa así como diversos temas sobre prevención e higiene mental. Se han invitado a psicoanalistas de otras ciudades que han participado de los resultados de sus investigaciones en la teoría y práctica clínica como un aporte en la actualización de los avances de la ciencia psicoanalítica. En este momento se están impartiendo dos seminarios abiertos al público uno sobre Teoría Psicoanalítica con el Dr. Roberto Castro y otro sobre Autismo y Psicosis Infantil impartido por la Dra. Esperanza Pérez de Plá ambos miembros didácticos de la Asociación Psicoanalítica Mexicana (APM). Espacio Psicoanalítico ha participado en eventos nacionales e internacionales en conferencias paneles y talleres con trabajos en los que se aporta la experiencia de la práctica clínica sobre trastornos infantiles de conducta adicciones sexualidad trastornos alimenticios adicciones entre los más importantes. En los últimos años se ha llegado a acuerdos con las Universidades mas importantes en la impartición de la carrera de Psicología en Guadalajara como son ITESO UNIVA UNIVER UDG  etc. acordando recibir a sus alumnos para realizar Servicio Social en nuestra institución así como intercambio de docentes y conferencistas. (Anexos 1) La amplia solicitud de pasantes y voluntarios interesados en el manejo de la terapia psicoanalítica confirma la necesidad en dar cuerpo a una formación académica que difunda y profundice el pensamiento psicoanalítico y pueda dar respuesta y apoyo a las necesidades planteadas por esta demanda. De ahí se ha madurado la idea de proponer la Maestría en Estudios Psicoanalíticos dirigida a personas interesadas en ampliar su formación en este campo. ",Establecernos como una institución psicoanalítica de vanguardia. Capaz de distinguirse por ser un modelo de congruencia responsabilidad tolerancia y legitimidad.,Construir preservar y difundir el conocimiento y el método psicoanalítico con el fin de contribuir a la formación integral de psicoanalistas y psicoterapeutas capaces de involucrarse profesionalmente en su entorno para favorecer en las tareas de investigación académicas  y procuración de la salud mental que la sociedad requiere.,"ESPACIO PSICOANALÍTICO desarrolla su actividad psicoanalítica por medio de un trabajo constante y sistemático  en un ambiente de libertad y apertura de acuerdo a las necesidades de su entorno y a los últimos desarrollos teóricos y prácticos de esta profesión. TOLERANCIA.- Saber aceptar las diferencias saber convivir en un espacio institucional con ellas y saber aprender de las mismas para obtener una mayor capacidad de trabajo y logros más efectivos. RESPONSABILIDAD.- Compromiso en las tareas y en la ética que la disciplina nos exige. Responsabilidad con quien nos demande atención sea en el ámbito del saber sobre el inconsciente o sobre el saber del inconsciente. TRABAJO.- El esfuerzo cotidiano individual y de conjunto permiten el desarrollo de la institución y de la profesión hacía los objetivos plasmados en relación a nuestro entorno social. RESPETO.- Entender  al interlocutor en sus posiciones teóricas y prácticas sin devaluar sus aportaciones. Realizar la actividad crítica necesaria en un ambiente de tolerancia con la intensión del enriquecimiento y el fortalecimiento de la disciplina psicoanalítica. ",2021/10/11 16:53,2023/09/14 16:08
164,591,EDUCACIÓN INTEGRAL DE SAN MIGUEL EL ALTO,EDUCACIÓN Y CULTURA SAN MIGUELENSE A.C,NULL,NULL,NULL,NULL,NULL,2021/10/13 13:15
165,592,Centro Guestalt de Enseñanza en Terapia Infantil y Adolescente,Centro Guestáltico de Enseñanza en Terapia Infantil y Adolescente A.C.,NULL,"Somos una institución fundada en 1993 como una clínica de atención psicológica y en el 2003 elegimos el nombre de Centro Guestalt de Enseñanza en Terapia Infantil y Adolescente para ampliar nuestros horizontes al continuar con la misión de atender a las familias desde la faceta e incursionar en lo académico al capacitar a profesionistas sobre el arte de la psicoterapia con niños adolescentes y padres de familia desde el enfoque Guestalt. ANTECEDENTES: Son muchas las instituciones que actualmente se dedican a la formación de psicoterapeutas en México la mayoría centra sus esfuerzos en la psicoterapia con adultos y son realmente pocas las que abren programas en donde se capacite a los futuros terapeutas para la atención a la familia en su conjunto. Por otra parte hay una creciente toma de conciencia de padres de familia maestros pediatras y otros adultos que reconocen y recomiendan que se acuda con un terapeuta para que apoye al niño al adolescente o al padre de familia que lo está necesitando. Conscientes de esta carencia buscamos crear un espacio donde los profesionales avancen  en su capacitación a fin de desarrollar las herramientas necesarias para atender a niños y adolescentes a la luz de la Terapia Guestalt. El espacio se cristaliza a través de la Maestría en Evaluación y Terapia Infantil.",Ser una institución con reconocimiento nacional e internacional por el alto desempeño de sus egresados el liderazgo de sus profesores en el área de la psicoterapia y la pertinencia de sus programas reconocidos por instancias acreditadoras que genera investigación de vanguardia y se encuentra en estrecha relación con la sociedad siendo un eslabón  importante en el desarrollo social de la región y del país.,Somos una institución formadora de profesionales en el área de la psicoterapia de alta competencia generadora de investigación de alto nivel con amplia aplicación en contextos comunitarios y en continua relación con la sociedad logrando con ello la construcción de un sociedad mas justa humana y con cultura científica.,"*Trascendencia: tendencia a realizar aportaciones a su entorno. *Responsabilidad: reconocer las acciones que realiza y  asumir las consecuencias de sus actos. *Autorrealización: logro del pleno desarrollo de los potenciales. *Libertad: posibilidad de elegir las acciones que se quieran realizar y tomar con ello las riendas de la propia vida. *Respeto: mantener la dignidad e integridad propia y su entorno. *Creatividad: generar nuevas formas de realizar ciertas acciones la innovación en las áreas de desempeño. *Solidaridad social: dirigir las acciones hacia la resolución de problemáticas sociales y favorecer el desarrollo de las comunidades. *Ética profesional: dirigir la conducta de acuerdo a principios que permiten mantener la dignidad de la profesión y el desarrollo de las personas. *Trabajo en equipo: suma de acciones que comparten un conjunto de personas en amplia interrelación y con metas comunes que se rigen por la solidaridad el respeto y el apoyo mutuo.",2021/10/13 14:06,2023/08/29 16:14
166,594,Instituto de Estudios Superiores de Homeopatía. ,Instituto de Estudios Superiores de Homeopatía  ,NULL,"El instituto de estudios superiores de homeopatía surgió como un esfuerzo y una respuesta educativa a las necesidades de saludad de nuestra sociedad. Nuestro objetivo es formar profesionistas en la terapéutica homeopática con un alto sentido de humanitarismo que logre desarrollar sus habilidades clínicas y terapéuticas y la aplicación completa de ellas para lograr una curación en el plano físico y mental en una forma pronta y duradera. Nuestra meta es formar profesionistas que se caractericen por entregar lo mejor de cada uno. ","Nuestra visión es: 1. Ser un valuarte y un líder en la excelencia de la terapéutica homeopática a nivel nacional. 2. Darle una dignificación a la terapéutica homeopática. 3. Participara en la profesionalización de la homeopatía para la regulación de esta actividad. 4. Tener el reconocimiento de la sociedad para la homeopatía como sistema terapéutico. 5. Tener egresados dando cobertura en las zonas rurales para el beneficio de la comunidad. 6. Ser reconocidos a nivel nacional e internacional por su calidad educativa. ","Transmitir los conocimientos de la disciplina Hahnemanniana y formar personas vinculadas responsablemente al ser y a los anhelos de la comunidad. A todas las personas interesados en ello provee una enseñanza de alta calidad académica para la formación de recursos humanos en la terapéutica homeopática. Establecer una enseñanza de calidad para la comunidad y ser un mejor servidor de la sociedad. ","1 Respeto a toda forma de vida. 2 Tener espíritu de servicio con un sentido humanitario hacia la sociedad. 3 Reconocer la disciplina y el orden como factores que ayudan al desarrollo del individuo y favorecen la convivencia. 4 Aceptar y promover las diferencias naturales entre los seres humanos y la pluralidad en el pensamiento como principio de riqueza cultural y unidad social. 5 Ver en el compromiso con los más necesitados la mejor manera de luchar por el progreso y bienestar de nuestra sociedad. 6 Buscar generar espacios para un diálogo fecundo entre las culturas y movimientos innovadores del quehacer humano. 7 Cultivar en sus miembros la vida intelectual tanto como el espíritu y la mentalidad innovadora y creativa",2021/10/14 10:23,2023/07/25 15:19
167,596,Centro de Educación y Atención en la Salud y la Sexualidad,Centro de Educación y Atención en la Salud y la Sexualidad A.C.,NULL,"El Centro se consolida como resultado de la concientización sobre las necesidades no resueltas en el campo de la educación de la sexualidad y la atención de problemas de esta índole para ello en el año de 1987 se trazan objetivos para dar dirección a los esfuerzos que como miembros fundadores se plantearon dividiéndose los mismos en dos grandes rubros: educativos y de atención a la salud. El área educativa dio inicio con talleres para niños adolescentes y adultos. En 1995 se crea el Diplomado para la Educación y Orientación de la Sexualidad del discapacitado en 1997 la Especialidad en Educación y Orientación de la Sexualidad en la Infancia y la Adolescencia con Reconocimiento de Validez Oficial de Estudios por la Secretaría de Educación Pública con clave SE9811EEOSIYA0015 y en 1999 la Maestría en Educación de la Sexualidad Humana con Reconocimiento de Validez Oficial de Estudios por la Secretaría de Educación Pública número de acuerdo ESM20011402 modalidad Escolarizada en módulos y trimestres. En el 2008 se propone la primera actualización cambiando la estructura curricular a semestres con Reconocimiento de Validez Oficial de Estudios por la Secretaría de Educación Pública número de acuerdo ESM20081401 El Centro ofrece además diplomados en:  Sexología Forense y Salud Sexual Pertenecemos como miembros fundadores a la Federación Mexicana de Educación Sexual y Sexología ( FEMESS)a Federación Latinoamericana de Sociedades de Sexología y Educación Sexual ( FLASSES) y a la Asociación Mundial para la  Salud Sexual ( WAS) Compartimos con otras tres organizaciones no gubernamentales la organización del Congreso Nacional de Educación Sexual y Sexología de la Federación Mexicana de Educación Sexual y Sexología en el 2005 en Guadalajara y estamos organizándolo nuevamente en este año 2017 Nuestros y nuestras docentes han participado  como  ponentes y asistentes en los Congresos de la FEMESS FLASSES Y WAS así como de diversos eventos académicos ",Formar profesionales de calidad sensibles respetuosos objetivos y científicos en el ámbito de la sexualidad humana desarrollando habilidades y destrezas en proyectos educativos que respondan a las necesidades de las instituciones de educación y de salud así como de la población en general frente a la problemática relacionada con la educación y la salud sexual.,Formar profesionales de calidad sensibles respetuosos objetivos y científicos en el ámbito de la sexualidad humana desarrollando habilidades y destrezas en proyectos educativos que respondan a las necesidades de las instituciones de educación y de salud así como de la población en general frente a la problemática relacionada con la educación y la salud sexual.,Creemos firmemente que el conocimiento integral puede hacer libres a los individuos y darles oportunidades de crecimiento que se traducirán en salud integral y equilibrio en otras áreas de su vida. Llegar a diversos grupos de población con el conocimiento como aliado reducirá notablemente los estándares de frustración que hasta hoy se han asociado a una manifestación pobre de su sexualidad a la vez que se reestructuran las interacciones humanas tan valiosas socialmente para el mantenimiento y perpetuación de los sistemas básicos de la estructura social Consideramos que el conocimiento de los más básicos derechos humanos en materia de sexualidad creará espacios de convivencia más igualitarios libres de lucha de poder sexual que lleven a los seres sexuales varones y hembras a interacciones de género más sanas y cooperadoras. Consideramos importante el respeto absoluto y estricto de los valores individuales reflejo de los cimientos familiares y sociales. Creemos en la impartición del conocimiento libre de mitos prejuicios y valores políticos ideológicos culturales y unipersonales. ,2021/10/15 11:38,2022/03/29 18:11
168,597,Instituto Pedagogico de Estudios Superiores de Jalisco,Aula Virtu@l de Estudios Superiores y Educación Continua de Jalisco,NULL,"La Maestría en Educación Emprendedora responde a la necesidad de especializar a los profesionistas de la educación para su incursión en el sector productivo de nuestro Estado con el propósito de fomentar la participación la generación de nuevos empleos y autoempleos que respondan a los nuevos esquemas de la Globalización y el enfoque de la Unión Europea. Las expectativas que se tienen en relación al autoempleo la tutoría a empresas y la búsqueda de la formación de profesionistas en competencias que nos permitan estar en condiciones de competir con calidad frente a las innovaciones educativas presentes y contar con expectativas para enfrentar un futuro imprevisible. La Maestría es el resultado de la inquietud de maestros visionarios que se proponen despertar en los profesionales de la educación nuevas expectativas que les permitan la generación de espacios de producción de satisfactores que les permitan una vida con más calidad. Estos profesionales de la educación se constituyen en una Asociación Civil cuyos propósitos y fines están legalmente constituidos para impartir educación superior presencial para la superación del magisterio. Los profesionales de la educación enfrentan un futuro incierto ante las innovaciones internacionales que hacen de la educación una acción de primera necesidad que prepara al hombre para hacer frente a los retos de una globalización cada vez más cercana a los países del tercer mundo por lo que es necesario prepararse mejor para enfrentar los nuevos retos de una economía globalizada. Este planteamiento tendrá que impactar la práctica educativa que se realiza en las aulas para atender una demanda cada vez más fuerte que la sociedad plantea a la escuela. Los estudios de la Maestría se ofrecen en la Ciudad de Guadalajara Jalisco ubicada en: La sede del Instituto Pedagógico de Estudios Superiores de Jalisco (IPESUJ): Calz. Federalismo Norte 2269-A Int. 2°  Colonia Jardines del Country  Guadalajara Jalisco El desarrollo del programa de la Maestría estará a cargo de: Un Director. Un Subdirector académico. Un Coordinador Administrativo . Un equipo de Asesores para la impartición de las asignaturas. El RVOE de la Maestría en Educación Emprendedora se obtuvo el día 08 de Octubre del 2009 con el número de Acuerdo: ESM20091409. ",Compartir con nuestros hermanos educadores los conocimientos en forma accesible en el marco de la democratización del conocimiento con la finalidad de coadyuvar a lo largo de toda la vida con la tendencia de la calidad educativa para el bien de la educación de México.,Edificar la sociedad de la educación basada en la adquisición la actualización y el uso de los conocimientos teóricos y técnicos puestos al servicio de aprender a vivir juntos sobre la base de aprender a ser en donde todos sus ciudadanos y ciudadanas estén suficientemente preparados éticamente para ejercer de forma eficiente su profesión en sus distintos niveles e intervenir en la sociedad con criterios y valores con un principio de equidad pedagógica que se enmarca en una auténtica justicia social.,"VALORES CARIDAD FE ESPERANZA LA CALIDAD EDUCATIVA NO ES UN PRODUCTO O LOGRO ES UNA TENDENCIA.- JAIME TORRES BODET",2021/10/15 12:22,2023/08/28 15:04
169,606,Homeopatía de Occidente,HOMEOPATIAFRANCEL ASOCIACIÓN CIVIL,NULL,"A principios de los años 90' un grupo de profesionistas egresados de diversas carreras y universidades guiados por una visión interdisciplinaria de la Ciencia Homeopática  se propusieron diseñar sólidos Programas de formación Académica profesional y de investigación atendiendo la necesidad de justificar el carácter científico de la Homeopatía. Nació entonces más precisamente en el último día de Febrero de 1992 HOMEOPATIAFRANCEL ASOCIACIÓN CIVIL creada con la finalidad de difundir y dignificar su práctica justificar su ubicación legitimarse en el contexto repertorio y corpus de las ciencias. Profesionalizar la atención a los demandantes de los servicios homeopáticos especialmente a quienes por su condición socio-económica carecen de acceso a los sistemas de salud pública y evitar la práctica indebida de tan noble Terapéutica. ",Ser una Institución líder en la enseñanza de la Homeopatía que forme profesionales capaces de impactar en nuestro medio logrando que las personas con las que interactúen puedan recuperar su salud y desarrollarse plenamente,Formar a profesionistas íntegros y éticos con una visión interdisciplinaria  de las ciencias de la salud en el ejercicio de la Homeopatía que aporten al campo de la salud que tengan vocación de servicio compromiso social que valoren y respeten al ser humano y promuevan la salud y el crecimiento personal familiar y comunitario.,"Honestidad Responsabilidad Respeto Servicio Compromiso Amor al Prójimo",2021/10/19 09:40,2021/12/04 21:21
